star
Helena Bonham Carter
John Candy
Bryan Brown
Brian Kerwin
Danny DeVito
Richard Jordan
John Lithgow
Michael Keaton
Stephen Lang
Chris Makepeace
Burt Lancaster
Todd Allen
Blythe Danner
Sissy Spacek
Judd Nelson
Scott McGinnis
Mike Norris
Victor Love
Cary Elwes
Elisabeth Shue
Adrian Pasdar
Andrew McCarthy
Dolph Lundgren
Christian Bale
Lorraine Gary
Timothy Dalton
Lou Diamond Phillips
Andre Gower
Donald Pleasence
George Kennedy
Hume Cronyn
Jason Bateman
Jim Varney
Kim Basinger
Anthony Newley
Casey Siemaszko
David Paul
Martin Sheen
Denzel Washington
Madonna
Chris Cooper
Jon Cryer
Michael E. Knight
Lane Smith
Kelly McGillis
Jim Belushi
Tom Hulce
Michael Biehn
Deborah Winters
Bill Cosby
Sarah Miles
Robert Townsend
Sy Richardson
Jodie Foster
Julie Walters
Patrick Dempsey
Elaine Stritch
Eric Stoltz
Eddie Deezen
Bruce Willis
Alec Baldwin
River Phoenix
Roddy Piper
Winona Ryder
Bob Hoskins
Annabeth Gish
Philippe Noiret
Catherine Hicks
Leslie Nielsen
Hitoshi Takagi
Melanie Griffith
Jean-Claude Van Damme
Willem Dafoe
Pat Hingle
Glenn Close
Geena Davis
Sonny Bono
Jeremy Irons
Daniel Day-Lewis
Shawnee Smith
Joey Lawrence
John Neville
Cassandra Peterson
Christine Ebersole
Steven Seagal
Keenen Ivory Wayans
Lance Henriksen
Terry Kiser
Doug Bradley
Amanda Donohoe
James Karen
Tami Erin
Carmen Maura
Cathy Podewell
Heather O'Rourke
William Ragsdale
Jackie Mason
Laurence Fishburne
Fisher Stevens
Bill Pullman
Jason Beghe
James Le Gros
Carl Weathers
Sidney Poitier
George Dzundza
Lukas Haas
Anthony Edwards
Scott Grimes
Eric Bogosian
Rubén Blades
Forest Whitaker
Cyndi Lauper
Robert Downey Jr.
Billy Crystal
Jennifer Rubin
Gena Rowlands
Cliff De Young
Amy Irving
Jessica Lange
David Keith
Joanna Pacula
Tim Daly
Alan Boyce
Theresa Russell
Hart Bochner
Keanu Reeves
Jodi Benson
Ed Harris
Danny Aiello
James Spader
Dale Midkiff
Julian Sands
Fred Savage
'Weird Al' Yankovic
Dom DeLuise
Nicole Kidman
Shelley Long
Morgan Freeman
Greg Evigan
John Ritter
Kenneth Branagh
Jensen Daggett
Colin Firth
Michael Murphy
Masatoshi Nagase
Sammi Davis
Christian Slater
Martin Landau
Cybill Shepherd
Gabriel Damon
Ted Danson
Dick Durock
Bubba Smith
Gary Graham
Hulk Hogan
Terry O'Quinn
Randy Quaid
Peter Boyle
Stephen Caffrey
Ron Fazio
Don Johnson
Kiefer Sutherland
Lorraine Bracco
Jillian McWhirter
Emily Lloyd
Ron Silver
Keith Coogan
Cheech Marin
Josef Sommer
Macaulay Culkin
Judith Hoag
Johnny Depp
Tim Robbins
Liam Neeson
Gabriel Byrne
Alex Vincent
Richard Linklater
Craig Sheffer
Michael Oliver
Bob Newhart
Christopher Reid
Tony Todd
Jonathan Brandis
Kate Hodge
James Lorinz
Andrew Dice Clay
Keely Christian
Akira Terao
Bradley Gregg
Dylan McDermott
Marlon Brando
David Andrews
Debbie Harry
Gérard Depardieu
Carolyn Farina
Aidan Quinn
Patrick Bergin
Adrienne Shelly
Douglas Barr
Ed Begley Jr.
Dabney Coleman
Louis Tripp
Brian Dennehy
Kirstie Alley
Cuba Gooding Jr.
Anjelica Huston
Susan Sarandon
Paige O'Hara
Kathy Bates
Billy Campbell
Anna Chlumsky
Julia Roberts
Brian Krause
John Turturro
Paige Turco
Robert Arkins
Wesley Snipes
Brandon Quintin Adams
Justin Whalin
Juliette Binoche
Brian Bosworth
Jason Patric
David Morse
Kristy Swanson
Glen Campbell
Scott Bakula
Vanilla Ice
Ellen Barkin
Ed O'Neill
Bobcat Goldthwait
Brad Pitt
Edith Meeks
John Goodman
Jeff Speakman
Claire Bloom
Laura Dern
Martin Short
Gregory Hines
Joe Pesci
Cindy Williams
Jeff Fahey
Vincent Spano
Kevin Anderson
Madeleine Stowe
Peter Berg
Harvey Keitel
Virginia Madsen
Scott Weinger
Whoopi Goldberg
Bridget Fonda
Mike Myers
Sheryl Lee
Annabella Sciorra
Timothy Balme
Edward James Olmos
Carlos Gallardo
Hugh Grant
Edward Furlong
Samantha Mathis
Brendan Fraser
Omar Epps
Victor Wong
Terry Farrell
Terence Knox
Tilda Swinton
James Marshall
Richard Kind
George Strait
Stephen Dorff
Anne Parillaud
Andy Garcia
Hugh Laurie
Marco Leonardi
Damon Wayans
Bill Paxton
Brandon Lee
Glenn Plummer
Dermot Mulroney
Mary McDonnell
Ray Liotta
Armand Assante
Mike Dytri
Robert John Burke
Andie MacDowell
Penelope Ann Miller
Jason London
Holly Hunter
Danny Elfman
Thomas Ian Nicholas
Damian Chapa
Tyrin Turner
Kate Maberly
Jason James Richter
Anthony Hopkins
D.B. Sweeney
Sharon Stone
Warwick Davis
Angela Bassett
Joe Mantegna
